year,block,plot,management_trt,herbivory_trt,bison_pasture,live,unknown,code,cover,taxon,provenance,life_cycle,type
2024,1,3,fire,SB,yes,0,0,BARE,3,,,,
2024,1,3,fire,SB,yes,0,0,LITTER,97,,,,
2024,1,3,fire,SB,yes,1,0,DAUCAR,2,Daucus carota,introduced,biennial ,forb
2024,1,3,fire,SB,yes,1,0,TRIPRA,6,Trifolium pratense,introduced,biennial ,legume
2024,1,3,fire,SB,yes,1,0,SOLCAR,3,Solanum carolinense,native,perennial ,forb
2024,1,3,fire,SB,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,PASSAT,2,Pastinaca sativa ,introduced,biennial ,forb
2024,1,3,fire,SB,yes,1,0,CONARV,15,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,3,fire,SB,yes,1,0,MEDLUP,1,Medicago lupulina ,introduced,perennial ,legume
2024,1,3,fire,SB,yes,1,0,AMBART,1,Ambrosia artemisiifolia,native,annual ,forb
2024,1,3,fire,SB,yes,1,0,ERIANN,3,Erigeron annuus ,native,annual ,forb
2024,1,3,fire,SB,yes,1,0,DACGLO,8,Dactylis glomerata,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,SOLCAN,2,Solidago canadensis ,native,perennial ,forb
2024,1,3,fire,SB,yes,1,0,FESARU,20,Festuca arundinacea,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,BROINE,35,Bromus inermis ,introduced,perennial ,grass
2024,1,3,fire,SB,yes,1,0,TAROFF,1,Taraxacum officnale ,introduced,perennial ,forb
2024,1,3,fire,SB,yes,1,0,SYMLAE,6,Symphyotrichum laeve ,native,perennial ,forb
2024,1,2,fire,SX,yes,1,0,ELAUMB,60,Elaeagnus umbellata,introduced,perennial ,woody
2024,1,2,fire,SX,yes,1,0,FESARU,20,Festuca arundinacea,introduced,perennial ,grass
2024,1,2,fire,SX,yes,1,0,PASSAT,8,Pastinaca sativa ,introduced,biennial ,forb
2024,1,2,fire,SX,yes,1,0,BROINE,27,Bromus inermis ,introduced,perennial ,grass
2024,1,2,fire,SX,yes,1,0,POAPRA,34,Poa pratensis ,introduced,perennial ,grass
2024,1,2,fire,SX,yes,0,0,BARE,4,,,,
2024,1,2,fire,SX,yes,0,0,LITTER,96,,,,
2024,1,2,fire,SX,yes,1,0,SOLCAN,4,Solidago canadensis ,native,perennial ,forb
2024,1,2,fire,SX,yes,1,0,Vitus spp,5,Vitus spp,native,,
2024,1,2,fire,SX,yes,1,0,CONARV,6,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,2,fire,SX,yes,1,0,AMBART,1,Ambrosia artemisiifolia,native,annual ,forb
2024,1,2,fire,SX,yes,1,0,DAUCAR,1,Daucus carota,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,TRIPRA,27,Trifolium pratense,introduced,biennial ,legume
2024,1,1,fire,XX,yes,1,0,TRIREP,8,Trifolium repens ,introduced,perennial ,legume
2024,1,1,fire,XX,yes,1,0,DAUCAR,7,Daucus carota,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,POAPRA,25,Poa pratensis ,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,AMBART,0.5,Ambrosia artemisiifolia,native,annual ,forb
2024,1,1,fire,XX,yes,1,0,AMBTRI,0.5,Ambrosia trifida ,native,annual ,forb
2024,1,1,fire,XX,yes,0,0,BARE,50,,,,
2024,1,1,fire,XX,yes,0,0,LITTER,50,,,,
2024,1,1,fire,XX,yes,1,0,PASSAT,5,Pastinaca sativa ,introduced,biennial ,forb
2024,1,1,fire,XX,yes,1,0,FESARU,15,Festuca arundinacea,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,MEDLUP,1,Medicago lupulina ,introduced,perennial ,legume
2024,1,1,fire,XX,yes,1,0,BROINE,45,Bromus inermis ,introduced,perennial ,grass
2024,1,1,fire,XX,yes,1,0,SOLCAN,6,Solidago canadensis ,native,perennial ,forb
2024,1,1,fire,XX,yes,1,0,CONARV,2,Convolvulus arvensis ,introduced,perennial ,forb
2024,1,1,fire,XX,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,9,27,mow,SB,yes,0,0,BARE,6,,,,
2024,9,27,mow,SB,yes,1,0,LOTCOR,38,Lotus corniculatus ,introduced,perennial ,legume
2024,9,27,mow,SB,yes,1,0,DAUCAR,6,Daucus carota,introduced,biennial ,forb
2024,9,27,mow,SB,yes,1,0,POAPRA,42,Poa pratensis ,introduced,perennial ,grass
2024,9,27,mow,SB,yes,1,1,UK Forb 1,1,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,1,UK Forb 2,1,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,1, UK Forb 3,0.2,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,1,UK Forb 4,0.2,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,1,UK Forb 5,0.2,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,1,UK Forb 6,0.2,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,0,0,LITTER,94,,,,
2024,9,27,mow,SB,yes,1,0,SOLCAN,12,Solidago canadensis ,native,perennial ,forb
2024,9,27,mow,SB,yes,1,0,CONARV,2,Convolvulus arvensis ,introduced,perennial ,forb
2024,9,27,mow,SB,yes,1,0,SYMLAE,6,Symphyotrichum laeve ,native,perennial ,forb
2024,9,27,mow,SB,yes,1,0,FESARU,10,Festuca arundinacea,introduced,perennial ,grass
2024,9,27,mow,SB,yes,1,1,UK Forb 7,0.2,unknwon forb ,,,forb
2024,9,27,mow,SB,yes,1,0,TRIPRA,8,Trifolium pratense,introduced,biennial ,legume
2024,9,27,mow,SB,yes,1,0,BROINE,20,Bromus inermis ,introduced,perennial ,grass
2024,9,27,mow,SB,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,9,27,mow,SB,yes,1,0,DACGLO,12,Dactylis glomerata,introduced,perennial ,grass
2024,9,27,mow,SB,yes,1,0,AGRHYE,20,Agrostis hyemalis,native,perennial ,grass
2024,9,27,mow,SB,yes,1,0,TRADUB,1,Tragopogon dubius,introduced,biennial ,forb
2024,9,26,mow,SX,yes,0,0,BARE,1,,,,
2024,9,26,mow,SX,yes,1,0,LOTCOR,45,Lotus corniculatus ,introduced,perennial ,legume
2024,9,26,mow,SX,yes,1,0,SOLCAR,3,Solanum carolinense,native,perennial ,forb
2024,9,26,mow,SX,yes,1,0,TOXRAD,5,Toxicodendron radicans,native,perennial ,vine
2024,9,26,mow,SX,yes,1,1,UK Forb 8,0.2,unknwon forb ,,,forb
2024,9,26,mow,SX,yes,1,1,UK Forb 9,0.1,unknwon forb ,,,forb
2024,9,26,mow,SX,yes,0,0,LITTER,99,,,,
2024,9,26,mow,SX,yes,1,0,SOLCAN,13,Solidago canadensis ,native,perennial ,forb
2024,9,26,mow,SX,yes,1,0,MONFIS,18,Mondarda fistulosa ,native,perennial ,legume
2024,9,26,mow,SX,yes,1,0,TRIREP,4,Trifolium repens ,introduced,perennial ,legume
2024,9,26,mow,SX,yes,1,0,AMBART,0.5,Ambrosia artemisiifolia,native,annual ,forb
2024,9,26,mow,SX,yes,1,0,FESARU,6,Festuca arundinacea,introduced,perennial ,grass
2024,9,26,mow,SX,yes,1,0,CONARV,8,Convolvulus arvensis ,introduced,perennial ,forb
2024,9,26,mow,SX,yes,1,0,BROINE,30,Bromus inermis ,introduced,perennial ,grass
2024,9,26,mow,SX,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,9,26,mow,SX,yes,1,0,AGRHYE,10,Agrostis hyemalis,native,perennial ,grass
2024,9,26,mow,SX,yes,1,0,TAROFF,0.2,Taraxacum officnale ,introduced,perennial ,forb
2024,9,25,mow,XX,yes,0,0,BARE,2,,,,
2024,9,25,mow,XX,yes,1,0,CONARV,6,Convolvulus arvensis ,introduced,perennial ,forb
2024,9,25,mow,XX,yes,1,0,FESARU,18,Festuca arundinacea,introduced,perennial ,grass
2024,9,25,mow,XX,yes,1,0,BROINE,10,Bromus inermis ,introduced,perennial ,grass
2024,9,25,mow,XX,yes,1,0,CORNUS,1,Cornus spp,native,perennial ,woody
2024,9,25,mow,XX,yes,0,0,LITTER,98,,,,
2024,9,25,mow,XX,yes,1,0,SOLCAN,7,Solidago canadensis ,native,perennial ,forb
2024,9,25,mow,XX,yes,1,0,MONFIS,3,Mondarda fistulosa ,native,perennial ,legume
2024,9,25,mow,XX,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,9,25,mow,XX,yes,1,1,UK Forb 1,0.5,unknwon forb ,,,forb
2024,9,25,mow,XX,yes,1,0,DAUCAR,11,Daucus carota,introduced,biennial ,forb
2024,9,25,mow,XX,yes,1,0,LOTCOR,37,Lotus corniculatus ,introduced,perennial ,legume
2024,9,25,mow,XX,yes,1,0,TRIPRA,2,Trifolium pratense,introduced,biennial ,legume
2024,9,25,mow,XX,yes,1,0,AGRHYE,8,Agrostis hyemalis,native,perennial ,grass
2024,9,25,mow,XX,yes,1,0,TRIREP,15,Trifolium repens ,introduced,perennial ,legume
2024,9,25,mow,XX,yes,1,1,UK Forb 10,0.1,unknwon forb ,,,forb
2024,8,24,mow,SB,yes,0,0,BARE,98,,,,
2024,8,24,mow,SB,yes,1,0,TRIPRA,2,Trifolium pratense,introduced,biennial ,legume
2024,8,24,mow,SB,yes,1,0,SYMLAE,3,Symphyotrichum laeve ,native,perennial ,forb
2024,8,24,mow,SB,yes,1,0,PASSAT,1,Pastinaca sativa ,introduced,biennial ,forb
2024,8,24,mow,SB,yes,1,1,UK Forb 11,0.5,unknwon forb ,,,forb
2024,8,24,mow,SB,yes,1,0,RATPIN,0.5,Ratibida pinnata ,native,perennial ,forb
2024,8,24,mow,SB,yes,0,0,LITTER,2,,,,
2024,8,24,mow,SB,yes,1,0,DAUCAR,1,Daucus carota,introduced,biennial ,forb
2024,8,24,mow,SB,yes,1,0,FESARU,4,Festuca arundinacea,introduced,perennial ,grass
2024,8,24,mow,SB,yes,1,0,SOLCAN,2,Solidago canadensis ,native,perennial ,forb
2024,8,24,mow,SB,yes,1,1,UK Forb 12,0.1,unknwon forb ,,,forb
2024,8,24,mow,SB,yes,1,0,BROINE,18,Bromus inermis ,introduced,perennial ,grass
2024,8,24,mow,SB,yes,1,0,POAPRA,20,Poa pratensis ,introduced,perennial ,grass
2024,8,24,mow,SB,yes,1,0,OXASTR,0.1,Oxalis stricta ,native,perennial ,forb
2024,8,23,mow,SX,yes,0,0,BARE,2,,,,
2024,8,23,mow,SX,yes,1,0,PASSAT,12,Pastinaca sativa ,introduced,biennial ,forb
2024,8,23,mow,SX,yes,1,0,CONARV,2,Convolvulus arvensis ,introduced,perennial ,forb
2024,8,23,mow,SX,yes,1,0,LOTCOR,2,Lotus corniculatus ,introduced,perennial ,legume
2024,8,23,mow,SX,yes,1,0,CORNUS,1,Cornus spp,native,perennial ,woody
2024,8,23,mow,SX,yes,0,0,LITTER,98,,,,
2024,8,23,mow,SX,yes,1,0,DAUCAR,4,Daucus carota,introduced,biennial ,forb
2024,8,23,mow,SX,yes,1,0,FESARU,12,Festuca arundinacea,introduced,perennial ,grass
2024,8,23,mow,SX,yes,1,0,SYMLAE,8,Symphyotrichum laeve ,native,perennial ,forb
2024,8,23,mow,SX,yes,1,0,POAPRA,65,Poa pratensis ,introduced,perennial ,grass
2024,8,23,mow,SX,yes,1,0,MONFIS,13,Mondarda fistulosa ,native,perennial ,legume
2024,8,23,mow,SX,yes,1,0,BROINE,13,Bromus inermis ,introduced,perennial ,grass
2024,8,23,mow,SX,yes,1,0,SOLCAR,0.5,Solanum carolinense,native,perennial ,forb
2024,8,22,mow,XX,yes,0,0,BARE,1,,,,
2024,8,22,mow,XX,yes,1,0,PASSAT,15,Pastinaca sativa ,introduced,biennial ,forb
2024,8,22,mow,XX,yes,1,0,LOTCOR,4,Lotus corniculatus ,introduced,perennial ,legume
2024,8,22,mow,XX,yes,1,0,AMBTRI,2,Ambrosia trifida ,native,annual ,forb
2024,8,22,mow,XX,yes,0,0,LITTER,99,,,,
2024,8,22,mow,XX,yes,1,0,SOLCAN,16,Solidago canadensis ,native,perennial ,forb
2024,8,22,mow,XX,yes,1,0,CONARV,1,Convolvulus arvensis ,introduced,perennial ,forb
2024,8,22,mow,XX,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,8,22,mow,XX,yes,1,0,FESARU,25,Festuca arundinacea,introduced,perennial ,grass
2024,8,22,mow,XX,yes,1,0,TRIPRA,8,Trifolium pratense,introduced,biennial ,legume
2024,6,18,fire,SB,yes,0,0,BARE,15,,,,
2024,6,18,fire,SB,yes,1,0,PASSAT,16,Pastinaca sativa ,introduced,biennial ,forb
2024,6,18,fire,SB,yes,1,0,BROINE,7,Bromus inermis ,introduced,perennial ,grass
2024,6,18,fire,SB,yes,1,0,SYMLAE,2,Symphyotrichum laeve ,native,perennial ,forb
2024,6,18,fire,SB,yes,1,0,PHLPRA,3,Phleum pratense,introduced,perennial ,grass
2024,6,18,fire,SB,yes,0,0,LITTER,85,,,,
2024,6,18,fire,SB,yes,1,0,SOLCAN,35,Solidago canadensis ,native,perennial ,forb
2024,6,18,fire,SB,yes,1,0,POAPRA,22,Poa pratensis ,introduced,perennial ,grass
2024,6,18,fire,SB,yes,1,0,TAROFF,1,Taraxacum officnale ,introduced,perennial ,forb
2024,6,18,fire,SB,yes,1,0,DACGLO,5,Dactylis glomerata,introduced,perennial ,grass
2024,6,18,fire,SB,yes,1,0,TRIPRA,20,Trifolium pratense,introduced,biennial ,legume
2024,6,18,fire,SB,yes,1,0,CONARV,0.5,Convolvulus arvensis ,introduced,perennial ,forb
2024,6,18,fire,SB,yes,1,0,DAUCAR,6,Daucus carota,introduced,biennial ,forb
2024,6,18,fire,SB,yes,1,0,FESARU,16,Festuca arundinacea,introduced,perennial ,grass
2024,6,18,fire,SB,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,6,17,fire,SX,yes,1,0,SOLCAN,41,Solidago canadensis ,native,perennial ,forb
2024,6,17,fire,SX,yes,1,0,PASSAT,6,Pastinaca sativa ,introduced,biennial ,forb
2024,6,17,fire,SX,yes,1,0,TRIPRA,4,Trifolium pratense,introduced,biennial ,legume
2024,6,17,fire,SX,yes,1,0,AGRHYE,5,Agrostis hyemalis,native,perennial ,grass
2024,6,17,fire,SX,yes,0,0,BARE,2,,,,
2024,6,17,fire,SX,yes,1,0,POAPRA,60,Poa pratensis ,introduced,perennial ,grass
2024,6,17,fire,SX,yes,1,0,BROINE,5,Bromus inermis ,introduced,perennial ,grass
2024,6,17,fire,SX,yes,1,0,PHLPRA,7,Phleum pratense,introduced,perennial ,grass
2024,6,17,fire,SX,yes,0,0,LITTER,98,,,,
2024,6,17,fire,SX,yes,1,0,DACGLO,NA,Dactylis glomerata,introduced,perennial ,grass
2024,6,17,fire,SX,yes,1,0,FESARU,18,Festuca arundinacea,introduced,perennial ,grass
2024,6,17,fire,SX,yes,1,0,DAUCAR,2,Daucus carota,introduced,biennial ,forb
2024,6,16,fire,XX,yes,0,0,BARE,2,,,,
2024,6,16,fire,XX,yes,1,0,SOLCAN,23,Solidago canadensis ,native,perennial ,forb
2024,6,16,fire,XX,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,6,16,fire,XX,yes,1,0,CONARV,0.5,Convolvulus arvensis ,introduced,perennial ,forb
2024,6,16,fire,XX,yes,0,0,LITTER,98,,,,
2024,6,16,fire,XX,yes,1,0,TOXRAD,24,Toxicodendron radicans,native,perennial ,vine
2024,6,16,fire,XX,yes,1,0,POAPRA,40,Poa pratensis ,introduced,perennial ,grass
2024,6,16,fire,XX,yes,1,0,TRIPRA,1,Trifolium pratense,introduced,biennial ,legume
2024,6,16,fire,XX,yes,1,0,DACGLO,8,Dactylis glomerata,introduced,perennial ,grass
2024,6,16,fire,XX,yes,1,0,PHLPRA,9,Phleum pratense,introduced,perennial ,grass
2024,6,16,fire,XX,yes,1,0,FESARU,38,Festuca arundinacea,introduced,perennial ,grass
2024,13,39,herbicide,SB,yes,0,0,BARE,99,,,,
2024,13,39,herbicide,SB,yes,1,0,TRIPRA,60,Trifolium pratense,introduced,biennial ,legume
2024,13,39,herbicide,SB,yes,1,1,UK Grass 1,16,unknown grass,,,grass
2024,13,39,herbicide,SB,yes,1,1,UK Forb 12,0.1,unknown forb,,,forb
2024,13,39,herbicide,SB,yes,1,1,UK Forb 14,0.2,unknown forb,,,forb
2024,13,39,herbicide,SB,yes,1,1,UK Forb 15,0.1,unknown forb,,,forb
2024,13,39,herbicide,SB,yes,0,0,LITTER,1,,,,
2024,13,39,herbicide,SB,yes,1,0,DAUCAR,10,Daucus carota,introduced,biennial ,forb
2024,13,39,herbicide,SB,yes,1,0,PLALAN,2,Plantago lanceolata ,introduced,perennial ,forb
2024,13,39,herbicide,SB,yes,1,0,CONCAN,5,Conyza canadensis,native,annual ,forb
2024,13,39,herbicide,SB,yes,1,0,AMBART,3,Ambrosia artemisiifolia,native,annual ,forb
2024,13,39,herbicide,SB,yes,1,0,FESARU,9,Festuca arundinacea,introduced,perennial ,grass
2024,13,39,herbicide,SB,yes,1,0,POAPRA,15,Poa pratensis ,introduced,perennial ,grass
2024,13,38,herbicide,SX,yes,0,0,BARE,4,,,,
2024,13,38,herbicide,SX,yes,1,0,SYMLAE,28,Symphyotrichum laeve ,native,perennial ,forb
2024,13,38,herbicide,SX,yes,1,0,PLALAN,1,Plantago lanceolata ,introduced,perennial ,forb
2024,13,38,herbicide,SX,yes,1,1,UK Grass 1,6,unknown grass,,,grass
2024,13,38,herbicide,SX,yes,1,0,TAROFF,1,Taraxacum officnale ,introduced,perennial ,forb
2024,13,38,herbicide,SX,yes,1,1,Phlox Spp ,0.5,Phlox spp,native,,
2024,13,38,herbicide,SX,yes,0,0,LITTER,96,,,,
2024,13,38,herbicide,SX,yes,1,0,TRIPRA,7,Trifolium pratense,introduced,biennial ,legume
2024,13,38,herbicide,SX,yes,1,0,TRADUB,2,Tragopogon dubius,introduced,biennial ,forb
2024,13,38,herbicide,SX,yes,1,0,PHLPRA,35,Phleum pratense,introduced,perennial ,grass
2024,13,38,herbicide,SX,yes,1,0,SOLCAR,1,Solanum carolinense,native,perennial ,forb
2024,13,38,herbicide,SX,yes,1,0,POAPRA,20,Poa pratensis ,introduced,perennial ,grass
2024,13,38,herbicide,SX,yes,1,0,DAUCAR,8,Daucus carota,introduced,biennial ,forb
2024,13,38,herbicide,SX,yes,1,0,AMBART,4,Ambrosia artemisiifolia,native,annual ,forb
2024,13,38,herbicide,SX,yes,1,0,MONFIS,6,Mondarda fistulosa ,native,perennial ,legume
2024,13,38,herbicide,SX,yes,1,1,UK Forb 12,0.2,unknown forb,,,forb
2024,13,38,herbicide,SX,yes,1,1,UK Forb 12,0.3,unknown forb,,,forb
2024,13,38,herbicide,SX,yes,1,0,FESARU,NA,Festuca arundinacea,introduced,perennial ,grass
2024,13,37,herbicide,XX,yes,0,0,BARE,3,,,,
2024,13,37,herbicide,XX,yes,1,0,SYMLAE,15,Symphyotrichum laeve ,native,perennial ,forb
2024,13,37,herbicide,XX,yes,1,0,DAUCAR,3,Daucus carota,introduced,biennial ,forb
2024,13,37,herbicide,XX,yes,1,1,UK Grass 1,2,unknown grass,,,grass
2024,13,37,herbicide,XX,yes,0,0,LITTER,97,,,,
2024,13,37,herbicide,XX,yes,1,0,TRIPRA,12,Trifolium pratense,introduced,biennial ,legume
2024,13,37,herbicide,XX,yes,1,0,PHLPRA,45,Phleum pratense,introduced,perennial ,grass
2024,13,37,herbicide,XX,yes,1,0,POAPRA,18,Poa pratensis ,introduced,perennial ,grass
2024,13,37,herbicide,XX,yes,1,0,MONFIS,1,Mondarda fistulosa ,native,perennial ,legume
2024,7,21,mow,SB,yes,0,0,BARE,2,,,,
2024,7,21,mow,SB,yes,1,0,AMBTRI,8,Ambrosia trifida ,native,annual ,forb
2024,7,21,mow,SB,yes,1,0,CONARV,0.5,Convolvulus arvensis ,introduced,perennial ,forb
2024,7,21,mow,SB,yes,1,0,PASSAT,1,Pastinaca sativa ,introduced,biennial ,forb
2024,7,21,mow,SB,yes,1,0,MELOFF,1,Melilotus officinalis ,introduced,perennial ,legume
2024,7,21,mow,SB,yes,0,0,LITTER,98,,,,
2024,7,21,mow,SB,yes,1,0,SOLCAN,4,Solidago canadensis ,native,perennial ,forb
2024,7,21,mow,SB,yes,1,0,TRIPRA,9,Trifolium pratense,introduced,biennial ,legume
